Employee_id,Operation,Emp_name,Store_id,DOB,Contact_number,Date_of_joining
49,Add,Walter Green,3,25-02-1992,9998887774,01-02-2021
50,Add,Xena White,4,10-03-1991,8887776665,01-03-2022
51,Add,Yvonne Black,5,22-04-1988,7776665556,01-04-2021
52,Add,Zane Yellow,6,14-05-1993,6665554447,01-05-2022
43,Delete,Quincy Pink,3,23-08-1991,5554443337,01-08-2021
44,Delete,Riley Brown,4,11-09-1992,4443332228,01-09-2022
53,Add,Aaron Blue,1,30-06-1990,5554443338,01-06-2021
54,Add,Beatrice Red,2,25-07-1994,4443332229,01-07-2022
55,Add,Clara Pink,3,17-08-1991,3332221120,01-08-2021
56,Add,David Green,4,28-09-1989,2221110010,01-09-2022
57,Add,Eleanor Violet,5,19-10-1992,1110009992,01-10-2021
58,Add,Frederick Black,6,13-11-1990,9888222664,01-11-2022
