Employee_id,Operation,Emp_name,Store_id,DOB,Contact_number,Date_of_joining
19,Add,Sophie Grey,1,19-07-1994,9998887770,01-07-2022
3,Delete,Charlie Johnson,3,03-03-1992,3334445556,01-03-2021
4,Delete,Diana Lee,4,04-04-1988,4445556667,01-04-2018
20,Add,Tom White,2,20-08-1987,8887776661,01-08-2021
21,Add,Uma Black,3,21-09-1990,7776665552,01-09-2019
22,Add,Vera Green,4,22-10-1992,6665554443,01-10-2020
23,Add,Wendy Brown,5,23-11-1985,5554443334,01-11-2021
24,Add,Xander Yellow,6,24-12-1991,4443332225,01-12-2022
25,Add,Yara Red,1,25-01-1993,3332221116,01-01-2021
26,Add,Zane Blue,2,26-02-1990,2221110007,01-02-2020
27,Add,Alice White,3,27-03-1989,1110009998,01-03-2022
28,Add,Ben Green,4,28-04-1994,9998889510,01-04-2022
