Employee_id,Operation,Emp_name,Store_id,DOB,Contact_number,Date_of_joining
29,Add,Cameron Brown,1,30-05-1992,9998887771,01-06-2021
30,Add,Diana Green,2,15-07-1994,8887776662,01-07-2022
31,Add,Ethan Black,3,12-08-1986,7776665553,15-08-2019
21,Delete,Uma Black,3,21-09-1990,7776665552,01-09-2019
22,Delete,Vera Green,4,22-10-1992,6665554443,01-10-2020
32,Add,Felicity White,4,23-09-1990,6665554444,15-09-2020
33,Add,Gavin Gray,5,05-10-1991,5554443335,15-10-2021
34,Add,Holly Blue,6,20-11-1988,4443332226,01-11-2022
35,Add,Ivy Violet,1,10-12-1992,3332221117,01-12-2021
36,Add,Jackie Red,2,11-01-1995,2221110008,01-01-2022
37,Add,Kyle Orange,3,19-02-1993,1110009999,01-02-2021
38,Add,Liam Pink,4,22-03-1994,9998880662,01-03-2022
